headword,pos,cefr_level,translation_uz,translation_ru,definition_en,ipa,frequency_rank,category,example_en,example_uz,example_ru,synonyms,antonyms,word_family,common_mistake
bounce back,phrasal verb,B2,"qayta tiklanmoq, o'ziga kelmoq","восстанавливаться, приходить в себя","to recover quickly from a setback, illness, or difficult situation",/baʊns bæk/,20257,phrasal,The company managed to bounce back after a difficult financial year.,Kompaniya qiyin moliyaviy yildan so'ng qayta tiklanishga erishdi.,Компания сумела восстановиться после трудного финансового года.,"recover, rally, rebound","decline, deteriorate",bounce back (v),'Bounce back' ko'pincha ruhiy yoki moliyaviy tiklanish uchun ishlatiladi; uni har doim ham jismoniy narsalarning sakrashiga nisbatan ishlatib bo'lmaydi.
bring out,phrasal verb,B1,"bozorga chiqarmoq, chop etmoq","выпускать, производить",to produce something to sell to the public or make something noticeable,/brɪŋ aʊt/,20259,phrasal,The publisher plans to bring out a new edition of the dictionary next year.,Nashriyot kelasi yili lug'atning yangi nashrini chiqarishni rejalashtirmoqda.,Издательство планирует выпустить новое издание словаря в следующем году.,"launch, release, publish","withdraw, recall",bring out (v),'Bring out' va 'take out'ni adashtirmang; 'bring out' yangi mahsulot yoki kitobni sotuvga chiqarishni anglatadi.
burst into,phrasal verb,B1,"to'satdan boshlamoq (yig'i, kulgi va h.k.)","внезапно разразиться (слезами, смехом и т.д.)","to suddenly start producing something, such as tears, laughter, or song",/bɜːst ˈɪntə/,20261,phrasal,The young child burst into tears after dropping his ice cream on the pavement.,"Yosh bola muzqaymog'ini yo'lakka tushirib yuborgach, to'satdan yig'lab yubordi.","Маленький ребенок разразился слезами, уронив мороженое на тротуар.","break into, explode into",,burst into (v),'Burst into tears' birikmasida 'into' o'rniga 'in' ishlatish xatodir.
check over,phrasal verb,B1,diqqat bilan tekshirib chiqmoq,"тщательно проверять, осматривать",to examine someone or something carefully to make sure everything is correct or healthy,/tʃek ˈəʊvə/,20263,phrasal,The mechanic agreed to check over the car before our long journey.,Mexanik uzoq safarimizdan oldin mashinani diqqat bilan tekshirib berishga rozi bo'ldi.,Механик согласился тщательно проверить машину перед нашей долгой поездкой.,"inspect, examine, look over","ignore, overlook",check over (v),'Check over' va 'check out' farqlanadi; 'check over' nuqson yoki xatolarni topish uchun sinchiklab tekshirishni anglatadi.
come round,phrasal verb,B2,"hushiga kelmoq, fikrini o'zgartirmoq","приходить в себя, менять мнение","to regain consciousness, or to change one's opinion to agree with someone",/kʌm raʊnd/,20265,phrasal,"He was opposed to the proposal at first, but he eventually came round.","U boshida taklifga qarshi edi, lekin oxir-bo'lib fikrini o'zgartirdi.","Сначала он был против предложения, но в конце концов изменил свое мнение.","come to, relent, yield","faint, resist",come round (v),"Amerika ingliz tilida ko'pincha 'come around' shakli ishlatiladi, britancha shakli 'come round'."
cool down,phrasal verb,A2,"sovimoq, bosilmoq","остывать, успокаиваться",to become cooler in temperature or to become calmer after being angry,/kuːl daʊn/,20267,phrasal,Let your bowl of soup cool down before you start eating it.,Sho'rva ichishni boshlashdan oldin uning sovishini kuting.,"Дайте супу остыть, прежде чем начать есть.","chill, calm down, soothe","heat up, warm up","cool down (v), cool-down (n)",Insonning jahli chiqib tinchlanishi uchun 'cool down' iborasi ham to'g'ri keladi.
do without,phrasal verb,B2,"birorsiz ham amallamoq, esiz yashamoq",обходиться без,to manage or survive without having a particular thing or person,/duː wɪðˈaʊt/,20269,phrasal,"During the power outage, we had to do without electricity for two days.",Chiroq o'chgan paytda biz ikki kun davomida elektr energiyasisiz amallashimizga to'g'ri keldi.,Во время отключения света нам пришлось обходиться без электричества два дня.,"manage without, dispense with, forgo","require, depend on",do without (v),'Do without' fe'lidan keyin nimadan vos kechilganini bildiruvchi to'ldiruvchi (masalan: 'it') kelishi shart.
fall back on,phrasal verb,B2,zaxira chorasiga tayanmoq,"прибегать к, рассчитывать на",to use something as a secondary option or support when other plans fail,/fɔːl bæk ɒn/,20271,phrasal,"If her job application fails, she has her savings to fall back on.","Agar uning ishga kirish arizasi rad etilsa, suyanishi uchun jamg'argan pullari bor.","Если ее заявление о приеме на работу отклонят, у нее есть сбережения, на которые можно рассчитывать.","resort to, rely on, turn to",,fall back on (v),Ushbu iborada oxirgi 'on' predlogini tushirib qoldirmang; to'g'ri shakli 'fall back on'.
grow apart,phrasal verb,B2,"uzoqlashmoq, begonalashmoq",отдаляться друг от друга,to gradually become less close or friendly with someone over time,/ɡrəʊ əˈpɑːt/,20273,phrasal,"After leaving university, the two close friends slowly began to grow apart.","Universitetni tugatgach, ikki yaqin do'st sekin-asta bir-biridan uzoqlasha boshladi.",После окончания университета два близких друга постепенно начали отдаляться друг от друга.,"estrange, drift apart, separate","bond, grow closer",grow apart (v),"'Grow apart' fe'li odatda ko'plikdagi shaxslarga nisbatan qo'llaniladi (we grew apart, they grew apart)."
hold off,phrasal verb,B2,"kuttirib turmoq, kechiktirmoq","откладывать, удерживать",to delay doing something or delay taking action,/həʊld ɒf/,20275,phrasal,They decided to hold off buying a new home until interest rates decreased.,Ular foiz stavkalari pasayguncha yangi uy sotib olishni kechiktirishga qaror qilishdi.,Они решили отложить покупку нового дома до снижения процентных ставок.,"postpone, delay, defer","expedite, advance",hold off (v),"'Hold off'dan keyin fe'l kelsa, u har doim -ing shaklida bo'ladi ('hold off buying', 'hold off to buy' emas)."
keep away,phrasal verb,A2,"yaqinlashmaslik, uzoq turmoq","держаться подальше, не подпускать","to avoid going near someone or something, or to prevent someone from going near",/kiːp əˈweɪ/,20277,phrasal,You should keep away from the construction site for your own safety.,O'z xavfsizligingiz uchun qurilish maydonchasidan uzoqroq turishingiz kerak.,Вам следует держаться подальше от строительной площадки ради вашей безопасности.,"avoid, stay clear of, keep clear","approach, come near",keep away (v),Biror ob'ektdan uzoq durishda 'keep away' ko'pincha 'from' predlogi bilan ishlatiladi.
live up to,phrasal verb,B2,"umidlarni oqlamoq, munosib bo'lmoq","оправдывать (ожидания, надежды)",to achieve a high standard or fulfill expected requirements or promises,/lɪv ʌp tuː/,20279,phrasal,The hotel was very comfortable and fully lived up to our expectations.,Mehmonxona juda qulay edi va bizning umidlarimizni to'liq oqladi.,Отель был очень комфортным и полностью оправдал наши ожидания.,"match, satisfy, fulfill","fail, disappoint",live up to (v),Ushbu fe'lda 'up' va 'to' birga keladi; 'live to expectations' deyish xatodir.
act up,phrasal verb,B2,"injiqlik qilmoq, buzilmoq","барахлить, капризничать",to behave badly or fail to function properly,/ækt ʌp/,20281,phrasal,My old car's engine started to act up on the way home.,Uyga qaytish yo'lida eski mashinamning dvigateli buzila boshladi.,По дороге домой двигатель моей старой машины начал барахлить.,"misbehave, malfunction, play up","behave, work properly","act, acting",Do not use 'act up' to mean 'imitate someone'. It specifically means misbehaving or malfunctioning.
back out,phrasal verb,B2,"shartnomani bozmoq, voz kechmoq","пойти на попятную, отказаться от обещания",to decide not to do something that you had agreed to do,/bæk aʊt/,20283,phrasal,He signed the agreement and couldn't back out later.,U shartnomani imzoladi va keyinchalik undan voz kecha olmadi.,Он подписал соглашение и не мог потом пойти на попятную.,"withdraw, renege, pull out","commit, proceed, go through with","back, backing",Do not confuse 'back out' (withdraw from an agreement) with 'back up' (support or reverse a vehicle).
branch out,phrasal verb,B2,"yangi sohani yo'lga qo'ymoq, faoliyatini kengaytirmoq","расширять деятельность, осваивать новые области","to start doing a new activity or business, especially one related to your existing work",/brɑːntʃ aʊt/,20285,phrasal,The company decided to branch out into software development.,Kompaniya dasturiy ta'minot ishlab chiqish sohasini ham yo'lga qo'yishga qaror qildi.,Компания решила расширить свою деятельность и заняться разработкой программного обеспечения.,"expand, diversify, broaden horizons","specialize, narrow down","branch, branching",'Branch out' requires the preposition 'into' when introducing a new field of work.
